Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Total_EMI_per_month,Credit_History_Age_Months,Credit_Score_Encoded,Credit_Mix_Encoded,Total_Num_Accounts,Debt_Per_Account,Debt_to_Income_Ratio,Delayed_Payments_Per_Account
19114.12,3,4,3,4,5,4,6.27,4,809.98,49.5749492148942,268,3,3,7,115.711428571429,0.0423760026619065,0.571428571428571
19114.12,3,4,3,4,3,8,11.27,4,809.98,49.5749492148942,271,3,3,7,115.711428571429,0.0423760026619065,1.14285714285714
19114.12,3,4,3,4,3,6,11.27,4,809.98,49.5749492148942,0,2,3,7,115.711428571429,0.0423760026619065,0.857142857142857
34847.84,2,4,6,1,7,1,7.42,2,605.03,18.8162145731289,320,3,3,6,100.838333333333,0.0173620517082264,0.166666666666667
34847.84,2,4,6,1,3,3,5.42,2,605.03,18.8162145731289,322,3,3,6,100.838333333333,0.0173620517082264,0.5
34847.84,2,4,6,1,3,1,6.42,2,605.03,18.8162145731289,323,3,3,6,100.838333333333,0.0173620517082264,0.166666666666667
34847.84,2,4,6,1,3,0,5.42,2,605.03,18.8162145731289,324,3,3,6,100.838333333333,0.0173620517082264,0
34847.84,2,4,6,1,3,4,5.42,2,605.03,18.8162145731289,325,3,3,6,100.838333333333,0.0173620517082264,0.666666666666667
34847.84,2,4,6,1,3,4,5.42,2,605.03,18.8162145731289,326,3,3,6,100.838333333333,0.0173620517082264,0.666666666666667
30689.89,2,5,4,1,0,6,1.99,4,632.46,16.4154516598249,207,2,3,7,90.3514285714286,0.0206080895043938,0.857142857142857
30689.89,2,5,4,1,5,3,1.99,4,632.46,16.4154516598249,208,2,3,7,90.3514285714286,0.0206080895043938,0.428571428571429
30689.89,2,5,4,1,3,9,1.99,4,632.46,16.4154516598249,209,2,3,7,90.3514285714286,0.0206080895043938,1.28571428571429
35547.71,7,5,5,0,5,15,2.58,4,943.86,0,373,2,2,12,78.655,0.0265519213473948,1.25
35547.71,7,5,5,0,10,15,2.58,4,943.86,0,374,2,2,12,78.655,0.0265519213473948,1.25
73928.46,4,5,8,0,8,7,10.14,2,548.2,0,0,3,3,9,60.9111111111111,0.0074152768771323,0.777777777777778
73928.46,4,5,8,0,8,7,10.14,2,548.2,0,386,3,3,9,60.9111111111111,0.0074152768771323,0.777777777777778
131313.4,0,1,8,2,0,3,9.34,2,352.16,137.644605401422,367,3,3,1,352.16,0.00268182835872044,3
31370.8,0,5,12,2,4,0,5.76,2,421.43,46.6161290733421,0,3,3,5,84.286,0.0134338301860329,0
31370.8,1,6,12,2,1,0,5.76,5,421.43,46.6161290733421,0,3,3,7,60.2042857142857,0.0134338301860329,0
33751.27,5,5,20,3,16,20,11,4,1328.93,65.0081742865154,230,2,2,10,132.893,0.0393742220663104,2
33751.27,5,5,20,3,16,20,11,4,1328.93,65.0081742865154,231,2,2,10,132.893,0.0393742220663104,2
33751.27,5,5,20,3,17,22,11,8,1328.93,65.0081742865154,233,2,2,10,132.893,0.0393742220663104,2.2
33751.27,5,5,20,3,16,20,8,8,1328.93,65.0081742865154,234,2,2,10,132.893,0.0393742220663104,2
33751.27,5,5,20,3,16,20,11,8,1328.93,65.0081742865154,235,2,2,10,132.893,0.0393742220663104,2
33751.27,5,5,20,3,16,17,11,8,1328.93,65.0081742865154,0,2,2,10,132.893,0.0393742220663104,1.7
88640.24,3,6,1,2,4,0,3.51,3,950.36,135.173370971718,307,2,3,9,105.595555555556,0.0107215413676678,0
