Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Total_EMI_per_month,Credit_History_Age_Months,Credit_Score_Encoded,Credit_Mix_Encoded,Total_Num_Accounts,Debt_Per_Account,Debt_to_Income_Ratio,Delayed_Payments_Per_Account
19114.12,3,4,3,4,5,4,6.27,4.0,809.98,49.57494921489417,268,2.0,2.0,7,115.71142857142857,0.04237600266190649,0.5714285714285714
19114.12,3,4,3,4,6,0,11.27,4.0,809.98,49.57494921489417,269,2.0,2.0,7,115.71142857142857,0.04237600266190649,0.0
19114.12,3,4,3,4,3,8,11.27,4.0,809.98,49.57494921489417,271,2.0,2.0,7,115.71142857142857,0.04237600266190649,1.1428571428571428
19114.12,3,4,3,4,3,6,11.27,4.0,809.98,49.57494921489417,0,1.0,2.0,7,115.71142857142857,0.04237600266190649,0.8571428571428571
34847.84,2,4,6,1,7,1,7.42,2.0,605.03,18.816214573128885,320,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.16666666666666666
34847.84,2,4,6,1,3,3,5.42,2.0,605.03,18.816214573128885,322,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.5
34847.84,2,4,6,1,3,1,6.42,2.0,605.03,18.816214573128885,323,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.16666666666666666
34847.84,2,4,6,1,3,0,5.42,2.0,605.03,18.816214573128885,324,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.0
34847.84,2,4,6,1,3,4,5.42,2.0,605.03,18.816214573128885,325,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.6666666666666666
34847.84,2,4,6,1,3,4,5.42,2.0,605.03,18.816214573128885,326,2.0,2.0,6,100.83833333333332,0.017362051708226394,0.6666666666666666
30689.89,2,5,4,1,0,6,1.99,4.0,632.46,16.415451659824875,207,1.0,2.0,7,90.35142857142857,0.020608089504393794,0.8571428571428571
30689.89,2,5,4,1,5,3,1.99,4.0,632.46,16.415451659824875,208,1.0,2.0,7,90.35142857142857,0.020608089504393794,0.42857142857142855
30689.89,2,5,4,1,3,9,1.99,4.0,632.46,16.415451659824875,209,1.0,2.0,7,90.35142857142857,0.020608089504393794,1.2857142857142858
30689.89,2,5,4,1,5,0,1.99,4.0,632.46,16.415451659824875,213,1.0,2.0,7,90.35142857142857,0.020608089504393794,0.0
35547.71,7,5,5,0,9,0,2.58,4.0,943.86,0.0,369,1.0,1.0,12,78.655,0.026551921347394813,0.0
35547.71,7,5,5,0,5,15,2.58,4.0,943.86,0.0,373,1.0,1.0,12,78.655,0.026551921347394813,1.25
35547.71,7,5,5,0,10,15,2.58,4.0,943.86,0.0,374,1.0,1.0,12,78.655,0.026551921347394813,1.25
73928.46,4,5,8,0,8,7,10.14,2.0,548.2,0.0,0,2.0,2.0,9,60.91111111111112,0.0074152768771322975,0.7777777777777778
73928.46,4,5,8,0,8,7,10.14,2.0,548.2,0.0,386,2.0,2.0,9,60.91111111111112,0.0074152768771322975,0.7777777777777778
131313.4,0,1,8,2,0,3,9.34,2.0,352.16,137.6446054014217,367,2.0,2.0,1,352.16,0.0026818283587204356,3.0
31370.8,0,5,12,2,4,0,5.76,2.0,421.43,46.61612907334207,0,2.0,2.0,5,84.286,0.013433830186032872,0.0
31370.8,1,6,12,2,1,0,5.76,5.0,421.43,46.61612907334207,0,2.0,2.0,7,60.20428571428572,0.013433830186032872,0.0
33751.27,5,5,20,3,16,20,11.0,4.0,1328.93,65.00817428651536,230,1.0,1.0,10,132.893,0.0393742220663104,2.0
33751.27,5,5,20,3,16,20,11.0,4.0,1328.93,65.00817428651536,231,1.0,1.0,10,132.893,0.0393742220663104,2.0
33751.27,5,5,20,3,17,22,11.0,8.0,1328.93,65.00817428651536,233,1.0,1.0,10,132.893,0.0393742220663104,2.2
33751.27,5,5,20,3,16,20,8.0,8.0,1328.93,65.00817428651536,234,1.0,1.0,10,132.893,0.0393742220663104,2.0
